"","V1"
"482",1
"483",0
"484",0
"485",0
"486",1
"487",1
"488",1
"489",1
"490",1
"491",0
"492",1
"493",0
"494",1
"495",0
"496",1
"497",0
"498",1
"499",0
"500",0
"501",1
"502",1
"503",1
"504",0
"505",0
"506",1
"507",0
"508",0
"509",1
"510",1
"511",1
"512",0
"513",0
"514",1
"515",1
"516",1
"517",1
"518",0
"519",1
"520",1
"521",0
"522",0
"523",0
"524",1
"525",1
"526",0
"527",0
"528",0
"529",0
"530",1
"531",0
"532",0
"533",0
"534",1
"535",1
"536",0
"537",1
"538",0
"539",0
"540",0
"541",1
"542",0
"543",0
"544",1
"545",0
"546",0
"547",0
"548",0
"549",0
"550",0
"551",0
"552",0
"553",0
"554",1
"555",1
"556",1
"557",0
"558",1
"559",0
"560",1
"561",0
"562",1
"563",1
"564",0
"565",1
"566",1
"567",1
"568",1
"569",1
"570",0
"571",1
"572",1
"573",1
"574",0
"575",0
"576",0
"577",0
"578",0
"579",1
"580",0
"581",1
"582",1
"583",0
"584",0
"585",1
"586",1
"587",1
"588",0
"589",0
"590",1
"591",0
"592",0
"593",1
"594",1
"595",1
"596",1
"597",0
"598",1
"599",0
"600",0
"601",0
"602",1
"603",0
"604",1
"605",0
"606",1
"607",0
"608",1
"609",1
"610",0
"611",1
"612",0
"613",0
"614",1
"615",0
"616",0
"617",0
"618",1
"619",1
"620",1
"621",1
"622",0
"623",0
"624",0
"625",1
"626",1
"627",0
"628",0
"629",1
"630",0
"631",0
"632",0
"633",0
"634",0
"635",0
"636",0
"637",0
"638",1
"639",1
"640",0
"641",0
"642",0
"643",1
"644",0
"645",0
"646",1
"647",0
"648",1
"649",1
"650",1
"651",1
"652",0
"653",1
"654",0
"655",1
"656",0
"657",1
"658",1
"659",0
"660",0
"661",1
"662",1
"663",1
"664",0
"665",0
"666",0
"667",0
"668",1
"669",0
"670",0
"671",0
"672",1
"673",0
"674",0
"675",0
"676",0
"677",1
"678",1
"679",0
"680",0
"681",1
"682",1
"683",1
"684",0
"685",1
"686",0
"687",1
"688",1
"689",0
"690",1
"691",1
"692",1
"693",0
"694",1
"695",1
"696",0
"697",0
"698",0
"699",0
"700",0
"701",0
"702",1
"703",1
"704",1
"705",1
"706",0
"707",0
"708",1
"709",1
"710",1
"711",0
"712",1
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",1
"720",0
"721",1
"722",1
"723",0
"724",1
"725",0
"726",0
"727",0
"728",0
"729",1
"730",0
"731",0
"732",0
"733",0
"734",1
"735",0
"736",1
"737",0
"738",1
"739",1
"740",0
"741",0
"742",1
"743",1
"744",1
"745",0
"746",1
"747",0
"748",1
"749",1
"750",0
"751",1
"752",0
"753",1
"754",0
"755",1
"756",1
"757",1
"758",0
"759",0
"760",1
"761",1
"762",0
"763",0
"764",0
"765",1
"766",1
"767",0
"768",0
"769",1
"770",1
"771",1
"772",0
"773",0
"774",1
"775",1
"776",0
"777",0
"778",0
"779",1
"780",0
"781",1
"782",0
"783",0
"784",1
"785",1
"786",1
"787",0
"788",1
"789",0
"790",1
"791",1
"792",0
"793",0
"794",1
"795",0
"796",1
"797",1
"798",1
"799",1
"800",0
"801",1
"802",0
"803",0
"804",0
"805",1
"806",0
"807",0
"808",0
"809",0
"810",1
"811",1
"812",0
"813",1
"814",0
"815",0
"816",0
"817",0
"818",0
"819",0
"820",0
"821",0
"822",0
"823",0
"824",0
"825",1
"826",0
"827",0
"828",1
"829",0
"830",0
"831",1
"832",0
"833",0
"834",1
"835",0
"836",1
"837",1
"838",1
"839",0
"840",1
"841",1
"842",0
"843",1
"844",1
"845",1
"846",0
"847",0
"848",1
"849",0
"850",0
"851",1
"852",1
"853",1
"854",0
"855",1
"856",0
"857",0
"858",0
"859",1
"860",0
"861",1
"862",1
"863",1
"864",1
"865",0
"866",1
"867",1
"868",1
"869",0
"870",1
"871",1
"872",0
"873",1
"874",0
"875",0
"876",0
"877",0
"878",0
"879",1
"880",1
"881",1
"882",0
"883",0
"884",1
"885",0
"886",0
"887",0
"888",1
"889",0
"890",0
"891",1
"892",0
"893",1
"894",0
"895",1
"896",1
"897",0
"898",0
"899",0
"900",1
"901",0
"902",0
"903",0
"904",1
"905",1
"906",1
"907",0
"908",0
"909",1
"910",0
"911",0
"912",0
"913",1
"914",1
"915",1
"916",1
"917",1
"918",0
"919",1
"920",0
"921",1
"922",0
"923",1
"924",0
"925",0
"926",0
"927",1
"928",0
"929",1
"930",0
"931",1
"932",1
"933",0
"934",0
"935",0
"936",1
"937",1
"938",1
"939",1
"940",0
"941",1
"942",1
"943",0
"944",1
"945",1
"946",1
"947",1
"948",1
"949",1
"950",1
"951",1
"952",0
"953",0
"954",0
"955",1
"956",0
"957",0
"958",0
"959",0
"960",0
"961",1
"962",1
"963",0
"964",1
"965",1
"966",0
"967",1
"968",0
"969",0
"970",1
"971",1
"972",0
"973",1
"974",0
"975",0
"976",1
"977",0
"978",0
"979",1
"980",1
"981",1
"982",0
"983",0
"984",0
"985",1
"986",0
"987",1
"988",1
"989",0
"990",0
"991",0
"992",0
"993",0
"994",0
"995",0
"996",1
"997",1
"998",1
"999",0
"1000",0
"1001",0
"1002",0
"1003",0
"1004",1
"1005",1
"1006",1
"1007",0
"1008",1
"1009",0
"1010",1
"1011",1
"1012",0
"1013",1
"1014",1
"1015",1
"1016",0
"1017",1
"1018",1
"1019",1
"1020",0
"1021",1
"1022",0
"1023",1
"1024",0
"1025",0
"1026",0
"1027",1
"1028",0
"1029",1
"1030",1
"1031",1
"1032",1
"1033",1
"1034",1
"1035",0
"1036",0
"1037",0
"1038",1
"1039",0
"1040",0
"1041",0
"1042",0
"1043",1
"1044",0
"1045",0
"1046",0
"1047",1
"1048",0
"1049",1
"1050",1
"1051",0
"1052",1
"1053",1
"1054",0
"1055",1
"1056",1
"1057",1
"1058",0
"1059",1
"1060",1
"1061",0
"1062",1
"1063",0
"1064",0
"1065",0
"1066",0
"1067",0
"1068",1
"1069",0
"1070",1
"1071",1
"1072",0
"1073",0
"1074",1
"1075",0
"1076",0
"1077",0
"1078",0
"1079",1
"1080",1
"1081",0
"1082",1
"1083",0
"1084",0
"1085",1
"1086",0
"1087",0
"1088",1
"1089",1
"1090",1
"1091",1
"1092",0
"1093",1
"1094",0
"1095",0
"1096",1
"1097",1
"1098",1
"1099",0
"1100",0
"1101",0
"1102",1
"1103",1
"1104",1
"1105",0
"1106",0
"1107",0
"1108",0
"1109",1
"1110",0
"1111",1
"1112",1
"1113",1
"1114",1
"1115",0
"1116",1
"1117",0
"1118",1
"1119",1
"1120",0
"1121",1
"1122",0
"1123",1
"1124",0
"1125",1
"1126",1
"1127",0
"1128",1
"1129",0
"1130",0
"1131",0
"1132",1
"1133",1
"1134",1
"1135",0
"1136",0
"1137",1
"1138",1
"1139",0
"1140",1
"1141",1
"1142",0
"1143",1
"1144",1
"1145",0
"1146",1
"1147",0
"1148",0
"1149",1
"1150",1
"1151",0
"1152",0
"1153",0
"1154",0
"1155",0
"1156",1
"1157",0
"1158",1
"1159",1
"1160",1
"1161",0
"1162",1
"1163",1
"1164",0
"1165",0
"1166",0
"1167",0
"1168",0
"1169",1
"1170",0
"1171",0
"1172",0
"1173",0
"1174",0
"1175",1
"1176",0
"1177",0
"1178",1
"1179",1
"1180",0
"1181",0
"1182",0
"1183",1
"1184",1
"1185",0
"1186",0
"1187",0
"1188",1
"1189",1
"1190",0
"1191",1
"1192",1
"1193",0
"1194",1
"1195",1
"1196",0
"1197",1
"1198",1
"1199",0
"1200",0
"1201",0
"1202",0
"1203",0
"1204",1
"1205",1
"1206",1
"1207",0
"1208",1
"1209",0
"1210",0
"1211",1
"1212",1
"1213",0
"1214",0
"1215",0
"1216",1
"1217",0
"1218",0
"1219",1
"1220",0
"1221",0
"1222",0
"1223",1
"1224",0
"1225",1
"1226",0
"1227",1
"1228",0
"1229",0
"1230",0
"1231",1
"1232",1
"1233",0
"1234",0
"1235",1
"1236",0
"1237",0
"1238",0
"1239",0
"1240",1
"1241",0
"1242",0
"1243",1
"1244",0
"1245",0
"1246",0
"1247",0
"1248",1
"1249",1
"1250",1
"1251",0
"1252",0
"1253",0
"1254",0
"1255",1
"1256",1
"1257",0
"1258",1
"1259",0
"1260",0
"1261",0
"1262",1
"1263",1
"1264",1
"1265",1
"1266",0
"1267",1
"1268",0
"1269",1
"1270",0
"1271",0
"1272",1
"1273",1
"1274",0
"1275",0
"1276",0
"1277",1
"1278",0
"1279",1
"1280",0
"1281",0
"1282",1
"1283",0
"1284",0
"1285",0
"1286",0
"1287",0
"1288",1
"1289",0
"1290",0
"1291",0
"1292",0
"1293",1
"1294",1
"1295",1
"1296",0
"1297",0
"1298",0
"1299",0
"1300",1
"1301",1
"1302",1
"1303",1
"1304",1
"1305",1
"1306",0
"1307",0
"1308",0
"1309",0
"1310",0
"1311",0
"1312",0
"1313",0
"1314",0
"1315",0
"1316",0
"1317",1
"1318",1
"1319",0
"1320",0
"1321",0
"1322",0
"1323",1
"1324",0
"1325",0
"1326",0
"1327",0
"1328",0
"1329",1
"1330",0
"1331",0
"1332",1
"1333",0
"1334",0
"1335",1
"1336",0
"1337",1
"1338",0
"1339",1
"1340",0
"1341",1
"1342",1
"1343",0
"1344",0
"1345",0
"1346",0
"1347",1
"1348",0
"1349",1
"1350",1
"1351",1
"1352",1
"1353",1
"1354",0
"1355",1
"1356",0
"1357",1
"1358",0
"1359",0
"1360",0
"1361",0
"1362",1
"1363",0
"1364",1
"1365",0
"1366",1
"1367",1
"1368",0
"1369",0
"1370",1
"1371",1
"1372",1
"1373",1
"1374",0
"1375",0
"1376",1
"1377",0
"1378",1
"1379",0
"1380",0
"1381",0
"1382",0
"1383",1
"1384",1
"1385",0
"1386",0
"1387",1
"1388",0
"1389",1
"1390",0
"1391",1
"1392",0
"1393",1
"1394",0
"1395",1
"1396",0
"1397",1
"1398",0
"1399",0
"1400",0
"1401",0
"1402",0
"1403",0
"1404",1
"1405",0
"1406",1
"1407",1
"1408",1
"1409",0
"1410",1
"1411",1
"1412",0
"1413",0
"1414",1
"1415",1
"1416",1
"1417",1
"1418",1
"1419",1
"1420",0
"1421",0
"1422",0
"1423",1
"1424",0
"1425",0
"1426",0
"1427",1
"1428",0
"1429",1
"1430",1
"1431",1
"1432",0
"1433",1
"1434",0
"1435",0
"1436",1
"1437",1
"1438",0
"1439",1
"1440",1
"1441",0
"1442",0
"1443",1
"1444",0
"1445",0
"1446",0
"1447",0
"1448",0
"1449",0
"1450",1
"1451",1
"1452",1
"1453",0
"1454",1
"1455",0
"1456",1
"1457",1
"1458",0
"1459",1
"1460",1
"1461",0
"1462",0
"1463",1
"1464",0
"1465",0
"1466",1
"1467",0
"1468",1
"1469",0
"1470",0
"1471",1
"1472",0
"1473",0
"1474",1
"1475",0
"1476",1
"1477",0
"1478",0
"1479",0
"1480",0
"1481",0
"1482",0
"1483",1
"1484",1
"1485",0
"1486",0
"1487",1
"1488",0
"1489",0
"1490",1
"1491",1
"1492",0
"1493",1
"1494",0
"1495",1
"1496",1
"1497",0
"1498",1
"1499",0
"1500",1
"1501",0
"1502",1
"1503",0
"1504",0
"1505",1
"1506",0
"1507",1
"1508",1
"1509",1
"1510",1
"1511",0
"1512",0
"1513",0
"1514",0
"1515",1
"1516",1
"1517",1
"1518",1
"1519",0
"1520",1
"1521",1
"1522",1
"1523",0
"1524",0
"1525",0
"1526",1
"1527",1
"1528",1
"1529",1
"1530",0
"1531",0
"1532",0
"1533",0
"1534",1
"1535",1
"1536",0
"1537",1
"1538",0
"1539",1
"1540",0
"1541",1
"1542",1
"1543",1
"1544",0
"1545",1
"1546",1
"1547",0
"1548",0
"1549",0
"1550",1
"1551",1
"1552",1
"1553",0
"1554",1
"1555",1
"1556",0
"1557",0
"1558",0
"1559",1
"1560",0
"1561",1
"1562",0
"1563",0
"1564",1
"1565",0
"1566",0
"1567",1
"1568",0
"1569",0
"1570",0
"1571",0
"1572",0
"1573",1
"1574",0
"1575",0
"1576",1
"1577",0
"1578",0
"1579",1
"1580",1
"1581",0
"1582",1
"1583",0
"1584",0
"1585",0
"1586",1
"1587",0
"1588",1
"1589",1
"1590",0
"1591",0
"1592",0
"1593",1
"1594",1
"1595",0
"1596",1
"1597",0
"1598",0
"1599",1
"1600",1
"1601",1
"1602",1
"1603",0
"1604",0
"1605",1
"1606",1
"1607",0
"1608",1
"1609",1
"1610",1
"1611",0
"1612",1
"1613",0
"1614",0
"1615",0
"1616",1
"1617",1
"1618",1
"1619",1
"1620",0
"1621",1
"1622",0
"1623",1
"1624",1
"1625",0
"1626",0
"1627",1
"1628",0
"1629",1
"1630",0
"1631",0
"1632",1
"1633",1
"1634",0
"1635",1
"1636",0
"1637",1
"1638",1
"1639",1
"1640",0
"1641",1
"1642",0
"1643",0
"1644",0
"1645",1
"1646",0
"1647",0
"1648",0
"1649",0
"1650",0
"1651",0
"1652",0
"1653",1
"1654",0
"1655",0
"1656",1
"1657",0
"1658",0
"1659",0
"1660",0
"1661",0
"1662",1
"1663",1
"1664",0
"1665",0
"1666",0
"1667",0
"1668",0
"1669",1
"1670",0
"1671",0
"1672",1
"1673",0
"1674",1
"1675",1
"1676",1
"1677",0
"1678",1
"1679",1
"1680",1
"1681",0
"1682",1
"1683",1
"1684",1
"1685",0
"1686",0
"1687",0
"1688",1
"1689",1
"1690",0
"1691",1
"1692",1
"1693",1
"1694",1
"1695",0
"1696",1
"1697",1
"1698",0
"1699",0
"1700",1
"1701",0
"1702",1
"1703",1
"1704",1
"1705",0
"1706",1
"1707",0
"1708",0
"1709",0
"1710",0
"1711",1
"1712",1
"1713",0
"1714",0
"1715",0
"1716",0
"1717",0
"1718",1
"1719",1
"1720",1
"1721",1
"1722",0
"1723",0
"1724",0
"1725",1
"1726",0
"1727",1
"1728",0
"1729",0
"1730",1
"1731",0
"1732",0
"1733",0
"1734",0
"1735",0
"1736",0
"1737",0
"1738",1
"1739",1
"1740",1
"1741",1
"1742",1
"1743",0
"1744",1
"1745",0
"1746",1
"1747",0
"1748",0
"1749",0
"1750",0
"1751",1
"1752",0
"1753",1
"1754",1
"1755",1
"1756",0
"1757",1
"1758",1
"1759",0
"1760",0
"1761",1
"1762",1
"1763",1
"1764",0
"1765",0
"1766",0
"1767",0
"1768",0
"1769",0
"1770",0
"1771",0
"1772",1
"1773",0
"1774",0
"1775",0
"1776",1
"1777",0
"1778",0
"1779",1
"1780",1
"1781",0
"1782",1
"1783",1
"1784",1
"1785",0
"1786",1
"1787",0
"1788",1
"1789",0
"1790",1
"1791",0
"1792",0
"1793",0
"1794",1
"1795",0
"1796",1
"1797",0
"1798",1
"1799",0
"1800",1
"1801",1
"1802",1
"1803",1
"1804",0
"1805",0
"1806",1
"1807",0
"1808",0
"1809",1
"1810",0
"1811",1
"1812",1
"1813",1
"1814",1
"1815",0
"1816",1
"1817",0
"1818",1
"1819",0
"1820",0
"1821",0
"1822",1
"1823",0
"1824",0
"1825",0
"1826",1
"1827",1
"1828",1
"1829",1
"1830",1
"1831",1
"1832",1
"1833",1
"1834",1
"1835",1
"1836",1
"1837",1
"1838",0
"1839",1
"1840",0
"1841",0
"1842",0
"1843",0
"1844",0
"1845",1
"1846",1
"1847",0
"1848",1
"1849",0
"1850",1
"1851",0
"1852",0
"1853",1
"1854",0
"1855",1
"1856",1
"1857",1
"1858",0
"1859",1
"1860",0
"1861",1
"1862",0
"1863",1
"1864",0
"1865",1
"1866",0
"1867",1
"1868",0
"1869",1
"1870",1
"1871",1
"1872",0
"1873",1
"1874",0
"1875",1
"1876",1
"1877",0
"1878",0
"1879",0
"1880",1
"1881",1
"1882",0
"1883",1
"1884",0
"1885",0
"1886",1
"1887",0
"1888",0
"1889",1
"1890",1
"1891",1
"1892",0
"1893",0
"1894",1
"1895",1
"1896",0
"1897",0
"1898",0
"1899",1
"1900",0
"1901",1
"1902",1
"1903",0
"1904",0
"1905",0
"1906",0
"1907",0
"1908",1
"1909",1
"1910",0
"1911",0
"1912",1
"1913",1
"1914",0
"1915",1
"1916",1
"1917",0
"1918",0
"1919",1
"1920",0
"1921",0
"1922",1
"1923",0
"1924",0
"1925",1
"1926",0
"1927",0
"1928",1
"1929",1
"1930",1
"1931",0
"1932",1
"1933",0
"1934",1
"1935",1
"1936",0
"1937",1
"1938",1
"1939",1
"1940",1
"1941",0
"1942",0
"1943",0
"1944",1
"1945",1
"1946",0
"1947",1
"1948",1
"1949",1
"1950",0
"1951",0
"1952",0
"1953",1
"1954",0
"1955",1
"1956",0
"1957",1
"1958",0
"1959",1
"1960",0
"1961",1
"1962",1
"1963",1
"1964",0
"1965",0
"1966",1
"1967",0
"1968",1
"1969",1
"1970",0
"1971",0
"1972",1
"1973",0
"1974",0
"1975",1
"1976",0
"1977",1
"1978",0
"1979",0
"1980",1
"1981",1
"1982",1
"1983",0
"1984",1
"1985",0
"1986",0
"1987",0
"1988",0
"1989",1
"1990",0
"1991",1
"1992",0
"1993",1
"1994",1
"1995",0
"1996",0
"1997",1
"1998",1
"1999",0
"2000",0
"2001",1
"2002",1
"2003",0
"2004",0
"2005",0
"2006",0
"2007",0
"2008",1
"2009",1
"2010",1
"2011",1
"2012",1
"2013",1
"2014",0
"2015",0
"2016",1
"2017",0
"2018",0
"2019",0
"2020",1
